kappa,beta1,polarization_last_half
0.0,0.0,0.10032965248632224
0.0,0.075,0.10032965248632224
0.0,0.15,0.10032965248632224
0.0,0.22499999999999998,0.10032965248632224
0.0,0.3,0.10032965248632224
0.0,0.375,0.10032965248632224
0.0,0.44999999999999996,0.10032965248632224
0.0,0.525,0.10032965248632224
0.0,0.6,0.10032965248632224
0.5,0.0,0.11237978260504056
0.5,0.075,0.12481641602771036
0.5,0.15,0.13860338477687686
0.5,0.22499999999999998,0.10461286766538236
0.5,0.3,0.11188143489641961
0.5,0.375,0.09972378876589794
0.5,0.44999999999999996,0.1285831558812029
0.5,0.525,0.13379971006261485
0.5,0.6,0.09759531274554349
1.0,0.0,0.15249948559334545
1.0,0.075,0.23523122907821745
1.0,0.15,0.25536492810832684
1.0,0.22499999999999998,0.194665415641107
1.0,0.3,0.1764613552587323
1.0,0.375,0.1600090870366709
1.0,0.44999999999999996,0.1477612123382475
1.0,0.525,0.2377170676233572
1.0,0.6,0.21459402294897484
1.5,0.0,0.28343771942211105
1.5,0.075,0.1840426143524325
1.5,0.15,0.177918580364466
1.5,0.22499999999999998,0.3624854022661609
1.5,0.3,0.20511931558411897
1.5,0.375,0.11514536752806935
1.5,0.44999999999999996,0.3121774113864361
1.5,0.525,0.31259829711333026
1.5,0.6,0.22822847927995232
2.0,0.0,0.5778430850550151
2.0,0.075,0.5447115838554779
2.0,0.15,0.34777544899126295
2.0,0.22499999999999998,0.5010587401176726
2.0,0.3,0.6057013562088857
2.0,0.375,0.5644977508023419
2.0,0.44999999999999996,0.5478814940480842
2.0,0.525,0.6323909759322334
2.0,0.6,0.612146522166968
2.5,0.0,0.7076677010441446
2.5,0.075,0.4719514292219261
2.5,0.15,0.3525421619657297
2.5,0.22499999999999998,0.361359728235542
2.5,0.3,0.4519828519926634
2.5,0.375,0.42109082572080553
2.5,0.44999999999999996,0.4472639904705364
2.5,0.525,0.5386050648053584
2.5,0.6,0.5364102303084284
3.0,0.0,0.7297137569807703
3.0,0.075,0.5625644487519719
3.0,0.15,0.5039454983006729
3.0,0.22499999999999998,0.3350503903124278
3.0,0.3,0.3793901085509432
3.0,0.375,0.6356043154716339
3.0,0.44999999999999996,0.5742148812468796
3.0,0.525,0.5930872118502604
3.0,0.6,0.5608811857621011
3.5,0.0,0.5586929308738692
3.5,0.075,0.3686667913149851
3.5,0.15,0.36998888231075117
3.5,0.22499999999999998,0.7751526146578731
3.5,0.3,0.4618507761879324
3.5,0.375,0.6530322826611249
3.5,0.44999999999999996,0.5276034833039741
3.5,0.525,0.709742743396891
3.5,0.6,0.5741227209804651
4.0,0.0,0.7618403889336023
4.0,0.075,0.6177566841706841
4.0,0.15,0.8034207946321966
4.0,0.22499999999999998,0.7468939843357423
4.0,0.3,0.49059136576674917
4.0,0.375,0.7214505153207007
4.0,0.44999999999999996,0.7418917857966718
4.0,0.525,0.7677880968974252
4.0,0.6,0.7545737679339923
